MD	GR	DTCO	PHIE	RHOB	DTS	WELL
5261.394	14.051370621	72.820716858	0.1965212524	2.3625378609	130.95559692	Well_9
5261.594	15.138440132	72.133743286	0.1903370917	2.3702805042	131.5756073	Well_9
5261.794	16.608201981	70.934432983	0.1826532632	2.3796064854	130.83889771	Well_9
5261.994	16.968456268	70.107124329	0.1760267615	2.4027409554	128.75439453	Well_9
5262.194	16.456464767	69.540267944	0.1688315272	2.4271450043	126.15139771	Well_9
5262.394	17.913780212	69.577590942	0.1656979918	2.439340353	124.42209625	Well_9
5262.594	18.769886017	70.438034058	0.174930647	2.4430401325	123.60600281	Well_9
5262.794	18.057523727	71.568077087	0.1848063767	2.4127147198	124.9477005	Well_9
5262.994	18.312986374	72.39541626	0.185924992	2.3715894222	126.85800171	Well_9
5263.194	18.548788071	72.513725281	0.1787622571	2.3799622059	128.09100342	Well_9
5263.394	18.687843323	71.943054199	0.1669442207	2.3985719681	128.56230164	Well_9
5263.594	21.008104324	71.117668152	0.1529813409	2.4122383595	128.35020447	Well_9
5263.794	24.390369415	70.260650635	0.1367311925	2.4549558163	126.66639709	Well_9
5263.994	24.509571075	69.100784302	0.1197927892	2.5013980865	124.59519958	Well_9
5264.194	22.728870392	67.236099243	0.1056333706	2.5151305199	121.93740082	Well_9
5264.394	22.103075027	66.006774902	0.104094699	2.4978306293	119.14420319	Well_9
5264.594	21.940969467	65.625816345	0.1130828485	2.4829297066	117.42819977	Well_9
5264.794	21.609956741	65.367202759	0.1178317666	2.4828772545	116.66000366	Well_9
5264.994	23.122226715	64.634773254	0.1092264727	2.4997739792	115.53050232	Well_9
5265.194	26.586580276	63.213802338	0.0990981385	2.5275440216	114.13439941	Well_9
5265.394	31.838014603	62.343143463	0.0972026363	2.5499796867	112.32810211	Well_9
5265.594	36.516769409	62.540977478	0.1171377376	2.5304992199	111.07319641	Well_9
5265.794	34.428195953	65.550033569	0.1536564082	2.4580309391	111.7233963	Well_9
5265.994	27.905010223	70.597419739	0.1911368072	2.3884949684	114.10389709	Well_9
5266.194	23.688333511	74.564544678	0.2094694227	2.3517439365	119.10500336	Well_9
5266.394	23.834123611	75.6692276	0.1992036551	2.3317475319	125.1977005	Well_9
5266.594	24.687381744	75.269561768	0.1757264584	2.367348671	128.53559875	Well_9
5266.794	24.008436203	72.110969543	0.14535667	2.4483237267	129.04299927	Well_9
5266.994	22.951250076	66.893310547	0.1171627641	2.4918603897	126.66889954	Well_9
5267.194	24.429862976	64.172019958	0.106601879	2.5063874722	122.3757019	Well_9
5267.394	26.556222916	63.534805298	0.1130808219	2.5130157471	118.94010162	Well_9
5267.594	22.88010025	64.561973572	0.1219137311	2.4940114021	117.83999634	Well_9
5267.794	18.545009613	66.586784363	0.1272610277	2.4672920704	117.99220276	Well_9
5267.994	16.576843262	68.21697998	0.1305352151	2.4600772858	118.9598999	Well_9
5268.194	15.25100708	68.389785767	0.1321332008	2.4639456272	120.23729706	Well_9
5268.394	17.387216568	67.68069458	0.1282243431	2.4697525501	121.57649994	Well_9
5268.594	22.073158264	66.641242981	0.1242006421	2.4827907085	121.5223999	Well_9
5268.794	23.485420227	66.211372375	0.1276452392	2.4871029854	120.97419739	Well_9
5268.994	22.421628952	66.504798889	0.134008497	2.4727175236	120.063797	Well_9
5269.194	21.74763298	66.893630981	0.1376660466	2.4715898037	119.10220337	Well_9
